sku_id,tienda,marca,formato_raw,precio_raw,rating,opiniones,precio_kg,especialidad,id_registro_unico,marca_cat,especialidad_cat
Prescription Diet Metabolic Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Metabolic Pollo pienso para perros 6.86€ el kg
Desde 6.86€ / kg",24.29,4.8,630,6.86,Weight management,Hill's_Weight management_Prescription Diet Metabolic Pollo pienso para perros,0,1
Prescription Diet Digestive Care i/d Low Fat Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Digestive Care i/d Low Fat Pollo pienso para perros 6.90€ el kg
Desde 6.90€ / kg",17.49,4.8,268,6.9,General Care,Hill's_General Care_Prescription Diet Digestive Care i/d Low Fat Pollo pienso para perros,0,0
Veterinary Diets Weight Balance Medium/Maxi  pienso para perros,Kiwoko,Advance,"Veterinary Diets Weight Balance Medium/Maxi  pienso para perros 6.21€ el kg
Desde 6.21€ / kg",29.19,4.6,93,6.21,Weight management,Advance_Weight management_Veterinary Diets Weight Balance Medium/Maxi  pienso para perros,1,1
Prescription Diet Urinary Care c/d Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Urinary Care c/d Pollo pienso para perros 6.74€ el kg
Desde 6.74€ / kg",16.99,4.8,203,6.74,Urinary,Hill's_Urinary_Prescription Diet Urinary Care c/d Pollo pienso para perros,0,5
Prescription Diet Food Sensitives z/d pienso para perros,Kiwoko,Hill's,"Prescription Diet Food Sensitives z/d pienso para perros 9.02€ el kg
Desde 9.02€ / kg",41.99,4.8,414,9.02,Dermatological,Hill's_Dermatological_Prescription Diet Food Sensitives z/d pienso para perros,0,4
Prescription Diet Metabolic Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Metabolic Pollo pienso para perros 6.86€ el kg
Desde 6.86€ / kg",24.29,4.8,630,6.86,Weight management,Hill's_Weight management_Prescription Diet Metabolic Pollo pienso para perros,0,1
Veterinary Diets Hypoallergenic lata para perros,Kiwoko,Nath,"Veterinary Diets Hypoallergenic lata para perros 5.51€ el kg
Desde 5.51€ / kg",3.29,4.7,73,5.51,Hypoallergenic,Nath_Hypoallergenic_Veterinary Diets Hypoallergenic lata para perros,3,3
Prescription Diet Digestive Care i/d Low Fat Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Digestive Care i/d Low Fat Pollo pienso para perros 6.90€ el kg
Desde 6.90€ / kg",17.49,4.8,268,6.9,General Care,Hill's_General Care_Prescription Diet Digestive Care i/d Low Fat Pollo pienso para perros,0,0
Veterinary Diets Weight Balance Medium/Maxi  pienso para perros,Kiwoko,Advance,"Veterinary Diets Weight Balance Medium/Maxi  pienso para perros 6.21€ el kg
Desde 6.21€ / kg",29.19,4.6,93,6.21,Weight management,Advance_Weight management_Veterinary Diets Weight Balance Medium/Maxi  pienso para perros,1,1
Prescription Diet z/d Food Sensitivities Mini para perros,Kiwoko,Hill's,"Prescription Diet z/d Food Sensitivities Mini para perros 10.21€ el kg
Desde 10.21€ / kg",14.69,4.9,163,10.21,General Care,Hill's_General Care_Prescription Diet z/d Food Sensitivities Mini para perros,0,0
