marca,supermercado,categoria,precio,prediction
LIDER,ACUENTA,Despensa General,1190.0,0
GOURMET,ACUENTA,Despensa General,3290.0,0
LIDER,ACUENTA,Despensa General,1350.0,0
LIDER,ACUENTA,Despensa General,1790.0,0
GENERICA,ACUENTA,Despensa General,1950.0,0
MAGGI,ACUENTA,Despensa General,1550.0,0
GENERICA,ACUENTA,Despensa General,930.0,0
GENERICA,ACUENTA,Despensa General,810.0,0
ACE,ACUENTA,Despensa General,570.0,0
GENERICA,ACUENTA,Despensa General,660.0,0
GENERICA,ACUENTA,Despensa General,930.0,0
GENERICA,ACUENTA,Despensa General,810.0,0
GENERICA,ACUENTA,Despensa General,790.0,0
GENERICA,ACUENTA,Despensa General,1450.0,0
LIDER,ACUENTA,Despensa General,950.0,0
GENERICA,ACUENTA,Despensa General,1450.0,0
GENERICA,ACUENTA,Despensa General,950.0,0
GENERICA,ACUENTA,Despensa General,950.0,0
GENERICA,ACUENTA,Despensa General,660.0,0
GENERICA,ACUENTA,Despensa General,450.0,0
GOURMET,ACUENTA,Despensa General,440.0,0
LIDER,ACUENTA,Despensa General,450.0,0
GENERICA,ACUENTA,Despensa General,450.0,0
GENERICA,ACUENTA,Despensa General,490.0,0
GENERICA,ACUENTA,Despensa General,450.0,0
GENERICA,ACUENTA,Despensa General,490.0,0
MAGGI,ACUENTA,Despensa General,420.0,0
MAGGI,ACUENTA,Despensa General,490.0,0
IANSA,ACUENTA,Azúcares,1850.0,1
IANSA,ACUENTA,Azúcares,2550.0,1
GENERICA,ACUENTA,Azúcares,1690.0,1
IANSA,ACUENTA,Azúcares,2190.0,1
LIDER,ACUENTA,Azúcares,1050.0,1
LIDER,ACUENTA,Azúcares,1090.0,1
ACE,ACUENTA,Despensa General,2890.0,0
TRAVERSO,ACUENTA,Despensa General,1650.0,0
LIDER,ACUENTA,Despensa General,4690.0,0
TRAVERSO,ACUENTA,Despensa General,1090.0,0
LIDER,ACUENTA,Despensa General,940.0,0
TRAVERSO,ACUENTA,Despensa General,1090.0,0
