marca,supermercado,categoria,precio,supermercado_index,categoria_index,features,scaledFeatures,prediction,categoria_limpia
NATURA,CUGAT,CONSERVAS Y ENLATADOS,2090.0,3.0,16.0,"[2090.0,3.0,16.0]","[0.30353288211155943,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
NATURA,CUGAT,CONSERVAS Y ENLATADOS,2690.0,3.0,16.0,"[2690.0,3.0,16.0]","[0.3906715085550693,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
OTRA,CUGAT,DESPENSA,1690.0,3.0,0.0,"[1690.0,3.0,0.0]","[0.24544046448255286,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
OTRA,CUGAT,DESPENSA,1690.0,3.0,0.0,"[1690.0,3.0,0.0]","[0.24544046448255286,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
GOURMET,CUGAT,DESPENSA,1790.0,3.0,0.0,"[1790.0,3.0,0.0]","[0.2599635688898045,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
VIVO,CUGAT,DESPENSA,969.0,3.0,0.0,"[969.0,3.0,0.0]","[0.14072888170626846,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
OTRA,CUGAT,DESPENSA,899.0,3.0,0.0,"[899.0,3.0,0.0]","[0.13056270862119232,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
OTRA,CUGAT,DESPENSA,899.0,3.0,0.0,"[899.0,3.0,0.0]","[0.13056270862119232,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
OTRA,CUGAT,DESPENSA,899.0,3.0,0.0,"[899.0,3.0,0.0]","[0.13056270862119232,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
OTRA,CUGAT,DESPENSA,899.0,3.0,0.0,"[899.0,3.0,0.0]","[0.13056270862119232,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
OTRA,CUGAT,DESPENSA,899.0,3.0,0.0,"[899.0,3.0,0.0]","[0.13056270862119232,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
VIVO,CUGAT,DESPENSA,969.0,3.0,0.0,"[969.0,3.0,0.0]","[0.14072888170626846,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
BANQUETE,CUGAT,"ARROZ, LEGUMBRES Y SEMILLAS",4890.0,3.0,21.0,"[4890.0,3.0,21.0]","[0.7101798055146056,2.2394227749293085,3.3447901207524535]",1,DESPENSA Y ABARROTES
LUCCHETTI,CUGAT,DESPENSA,849.0,3.0,0.0,"[849.0,3.0,0.0]","[0.12330115641756649,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
GOURMET,CUGAT,DESPENSA,1590.0,3.0,0.0,"[1590.0,3.0,0.0]","[0.2309173600753012,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
OTRA,CUGAT,CONSERVAS Y ENLATADOS,2290.0,3.0,16.0,"[2290.0,3.0,16.0]","[0.33257909092606275,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
OTRA,CUGAT,CONSERVAS Y ENLATADOS,1990.0,3.0,16.0,"[1990.0,3.0,16.0]","[0.2890097777043078,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
OTRA,CUGAT,CONSERVAS Y ENLATADOS,1990.0,3.0,16.0,"[1990.0,3.0,16.0]","[0.2890097777043078,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
OTRA,CUGAT,CONSERVAS Y ENLATADOS,2390.0,3.0,16.0,"[2390.0,3.0,16.0]","[0.3471021953333144,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
OTRA,CUGAT,CONSERVAS Y ENLATADOS,1790.0,3.0,16.0,"[1790.0,3.0,16.0]","[0.2599635688898045,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
GOURMET,CUGAT,DESPENSA,1069.0,3.0,0.0,"[1069.0,3.0,0.0]","[0.15525198611352012,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
MAGGI,CUGAT,DESPENSA,890.0,3.0,0.0,"[890.0,3.0,0.0]","[0.12925562922453968,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
GOURMET,CUGAT,DESPENSA,1099.0,3.0,0.0,"[1099.0,3.0,0.0]","[0.1596089174356956,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
CAROZZI,CUGAT,DESPENSA,859.0,3.0,0.0,"[859.0,3.0,0.0]","[0.12475346685829165,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
GOURMET,CUGAT,ADEREZOS Y CONDIMENTOS,2490.0,3.0,13.0,"[2490.0,3.0,13.0]","[0.361625299740566,2.2394227749293085,2.0705843604658045]",2,DESPENSA Y ABARROTES
OTRA,CUGAT,CONSERVAS Y ENLATADOS,3290.0,3.0,16.0,"[3290.0,3.0,16.0]","[0.4778101349985792,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
OTRA,CUGAT,CONSERVAS Y ENLATADOS,1990.0,3.0,16.0,"[1990.0,3.0,16.0]","[0.2890097777043078,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
OTRA,CUGAT,CONSERVAS Y ENLATADOS,1990.0,3.0,16.0,"[1990.0,3.0,16.0]","[0.2890097777043078,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
NATURA,CUGAT,CONSERVAS Y ENLATADOS,2990.0,3.0,16.0,"[2990.0,3.0,16.0]","[0.43424082177682427,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
NATURA,CUGAT,CONSERVAS Y ENLATADOS,1990.0,3.0,16.0,"[1990.0,3.0,16.0]","[0.2890097777043078,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
OTRA,CUGAT,CONSERVAS Y ENLATADOS,2990.0,3.0,16.0,"[2990.0,3.0,16.0]","[0.43424082177682427,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
OTRA,CUGAT,CONSERVAS Y ENLATADOS,1990.0,3.0,16.0,"[1990.0,3.0,16.0]","[0.2890097777043078,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
LUCCHETTI,CUGAT,DESPENSA,849.0,3.0,0.0,"[849.0,3.0,0.0]","[0.12330115641756649,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
GOURMET,CUGAT,ADEREZOS Y CONDIMENTOS,1290.0,3.0,13.0,"[1290.0,3.0,13.0]","[0.18734804685354625,2.2394227749293085,2.0705843604658045]",2,DESPENSA Y ABARROTES
MAGGI,CUGAT,DESPENSA,1190.0,3.0,0.0,"[1190.0,3.0,0.0]","[0.1728249424462946,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
MAGGI,CUGAT,DESPENSA,1690.0,3.0,0.0,"[1690.0,3.0,0.0]","[0.24544046448255286,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
MAGGI,CUGAT,DESPENSA,1190.0,3.0,0.0,"[1190.0,3.0,0.0]","[0.1728249424462946,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
MAGGI,CUGAT,DESPENSA,1190.0,3.0,0.0,"[1190.0,3.0,0.0]","[0.1728249424462946,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
MAGGI,CUGAT,DESPENSA,1690.0,3.0,0.0,"[1690.0,3.0,0.0]","[0.24544046448255286,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
BIOSAL,CUGAT,ADEREZOS Y CONDIMENTOS,4890.0,3.0,13.0,"[4890.0,3.0,13.0]","[0.7101798055146056,2.2394227749293085,2.0705843604658045]",2,DESPENSA Y ABARROTES
GOURMET,CUGAT,DESPENSA,890.0,3.0,0.0,"[890.0,3.0,0.0]","[0.12925562922453968,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
MAGGI,CUGAT,DESPENSA,1090.0,3.0,0.0,"[1090.0,3.0,0.0]","[0.15830183803904296,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
OTRA,CUGAT,CONSERVAS Y ENLATADOS,1490.0,3.0,16.0,"[1490.0,3.0,16.0]","[0.21639425566804954,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
OTRA,CUGAT,CONSERVAS Y ENLATADOS,1490.0,3.0,16.0,"[1490.0,3.0,16.0]","[0.21639425566804954,2.2394227749293085,2.548411520573298]",1,DESPENSA Y ABARROTES
TUCAPEL,CUGAT,"ARROZ, LEGUMBRES Y SEMILLAS",1790.0,3.0,21.0,"[1790.0,3.0,21.0]","[0.2599635688898045,2.2394227749293085,3.3447901207524535]",1,DESPENSA Y ABARROTES
MIRAFLORES,CUGAT,"ARROZ, LEGUMBRES Y SEMILLAS",2490.0,3.0,21.0,"[2490.0,3.0,21.0]","[0.361625299740566,2.2394227749293085,3.3447901207524535]",1,DESPENSA Y ABARROTES
TUCAPEL,CUGAT,"ARROZ, LEGUMBRES Y SEMILLAS",1790.0,3.0,21.0,"[1790.0,3.0,21.0]","[0.2599635688898045,2.2394227749293085,3.3447901207524535]",1,DESPENSA Y ABARROTES
TUCAPEL,CUGAT,"ARROZ, LEGUMBRES Y SEMILLAS",1990.0,3.0,21.0,"[1990.0,3.0,21.0]","[0.2890097777043078,2.2394227749293085,3.3447901207524535]",1,DESPENSA Y ABARROTES
TUCAPEL,CUGAT,"ARROZ, LEGUMBRES Y SEMILLAS",1590.0,3.0,21.0,"[1590.0,3.0,21.0]","[0.2309173600753012,2.2394227749293085,3.3447901207524535]",1,DESPENSA Y ABARROTES
GOURMET,CUGAT,ADEREZOS Y CONDIMENTOS,379.0,3.0,13.0,"[379.0,3.0,13.0]","[0.055042565703483745,2.2394227749293085,2.0705843604658045]",2,DESPENSA Y ABARROTES
JB,CUGAT,ADEREZOS Y CONDIMENTOS,1590.0,3.0,13.0,"[1590.0,3.0,13.0]","[0.2309173600753012,2.2394227749293085,2.0705843604658045]",2,DESPENSA Y ABARROTES
DON JUAN,CUGAT,ADEREZOS Y CONDIMENTOS,1490.0,3.0,13.0,"[1490.0,3.0,13.0]","[0.21639425566804954,2.2394227749293085,2.0705843604658045]",2,DESPENSA Y ABARROTES
DON JUAN,CUGAT,ADEREZOS Y CONDIMENTOS,1490.0,3.0,13.0,"[1490.0,3.0,13.0]","[0.21639425566804954,2.2394227749293085,2.0705843604658045]",2,DESPENSA Y ABARROTES
JB,CUGAT,ADEREZOS Y CONDIMENTOS,1590.0,3.0,13.0,"[1590.0,3.0,13.0]","[0.2309173600753012,2.2394227749293085,2.0705843604658045]",2,DESPENSA Y ABARROTES
TALLIANI,CUGAT,ADEREZOS Y CONDIMENTOS,5590.0,3.0,13.0,"[5590.0,3.0,13.0]","[0.811841536365367,2.2394227749293085,2.0705843604658045]",2,DESPENSA Y ABARROTES
CHEF,CUGAT,ACEITES,10990.0,3.0,17.0,"[10990.0,3.0,17.0]","[1.596089174356956,2.2394227749293085,2.707687240609129]",1,DESPENSA Y ABARROTES
BANQUETE,CUGAT,ACEITES,8990.0,3.0,17.0,"[8990.0,3.0,17.0]","[1.305627086211923,2.2394227749293085,2.707687240609129]",1,DESPENSA Y ABARROTES
