nombre_producto,marca,supermercado,categoria,precio,precio_promedio_cat,dif_porcentual_promedio,prediction
"Ketchup Don Juan, 900g",DON JUAN,Cugat,Aderezos y Condimentos,3290.0,2150.4528301886794,52.99,0
"Ketchup Don Juan Doypack, 800g",DON JUAN,Cugat,Aderezos y Condimentos,2190.0,2150.4528301886794,1.84,0
"Ketchup Hellmann`s Doypack, 500g",OTRA,Cugat,Aderezos y Condimentos,2990.0,2150.4528301886794,39.04,0
"Ketchup Traverso Doypack, 1kg",TRAVERSO,Cugat,Aderezos y Condimentos,2690.0,2150.4528301886794,25.09,0
"Mayonesa Don Juan Doypack, 800g",DON JUAN,Cugat,Aderezos y Condimentos,2190.0,2150.4528301886794,1.84,0
"Mayonesa Hellmanns Doypack, 900g",HELLMANNS,Cugat,Aderezos y Condimentos,3990.0,2150.4528301886794,85.54,0
"Mayonesa Natura con Aceite de Maravilla Doypack, 670g",NATURA,Cugat,Aderezos y Condimentos,2390.0,2150.4528301886794,11.14,0
"Mostaza Don Juan Pet, 240g",DON JUAN,Cugat,Aderezos y Condimentos,1490.0,2150.4528301886794,-30.71,0
Mostaza Hellmann`s Doypack 250 Gr,OTRA,Cugat,Aderezos y Condimentos,1390.0,2150.4528301886794,-35.36,0
"Mostaza JB Regular Doypack, 250g",JB,Cugat,Aderezos y Condimentos,1090.0,2150.4528301886794,-49.31,0
"Orégano Entero Edra, 50g",EDRA,Cugat,Aderezos y Condimentos,829.0,2150.4528301886794,-61.45,2
"Orégano Entero Gourmet, 20g",GOURMET,Cugat,Aderezos y Condimentos,689.0,2150.4528301886794,-67.96,0
"Orégano Entero Gourmet, 50g",GOURMET,Cugat,Aderezos y Condimentos,1290.0,2150.4528301886794,-40.01,0
"Sal de Mar Lobos Entrefina, 800g",LOBOS,Cugat,Aderezos y Condimentos,2090.0,2150.4528301886794,-2.81,0
"Sal de Mesa Fina Lobos Frasco, 500g",LOBOS,Cugat,Aderezos y Condimentos,1369.0,2150.4528301886794,-36.34,0
"Sal Lobos Parrillera Frasco, 750g",LOBOS,Cugat,Aderezos y Condimentos,1990.0,2150.4528301886794,-7.46,0
"Salsa Gourmet Barbecue Botella, 280ml",GOURMET,Cugat,Aderezos y Condimentos,2890.0,2150.4528301886794,34.39,0
"Salsa de Soya Tradicional Gourmet Botella, 165ml",GOURMET,Cugat,Aderezos y Condimentos,2190.0,2150.4528301886794,1.84,0
"Salsa Inglesa Gourmet botella, 165cc",GOURMET,Cugat,Aderezos y Condimentos,2990.0,2150.4528301886794,39.04,0
"Sucedáneo de Limón de Pica Traverso, 500cc",TRAVERSO,Cugat,Aderezos y Condimentos,1690.0,2150.4528301886794,-21.41,0
"Sucedáneo de Limón Don Juan, 250ml",DON JUAN,Cugat,Aderezos y Condimentos,649.0,2150.4528301886794,-69.82,0
"Sucedáneo de Limón Don Juan, 500ml",DON JUAN,Cugat,Aderezos y Condimentos,990.0,2150.4528301886794,-53.96,0
"Sucedáneo de Limón Traverso, 1Lt.",TRAVERSO,Cugat,Aderezos y Condimentos,1990.0,2150.4528301886794,-7.46,0
Sucedáneo De Limón Traverso 500 Cc,TRAVERSO,Cugat,Aderezos y Condimentos,1290.0,2150.4528301886794,-40.01,0
"Vinagre Blanco Traverso, 500cc",TRAVERSO,Cugat,Aderezos y Condimentos,1090.0,2150.4528301886794,-49.31,0
"Vinagre de Manzana Traverso, 1Lt.",TRAVERSO,Cugat,Aderezos y Condimentos,3490.0,2150.4528301886794,62.29,0
"Vinagre de Manzana Traverso, 500cc",TRAVERSO,Cugat,Aderezos y Condimentos,1990.0,2150.4528301886794,-7.46,0
"Vinagre Rosado Traverso, 500cc",TRAVERSO,Cugat,Aderezos y Condimentos,1090.0,2150.4528301886794,-49.31,0
"Ají Pebre Crema Traverso, 350gr.",TRAVERSO,Cugat,Aderezos y Condimentos,2090.0,2150.4528301886794,-2.81,0
"Ketchup Hellmann`s Doypack, 900g",OTRA,Cugat,Aderezos y Condimentos,4390.0,2150.4528301886794,104.14,0
"Mayonesa Kraft Real Mayo Frasco, 789g",KRAFT,Cugat,Aderezos y Condimentos,7990.0,2150.4528301886794,271.55,0
"Salsa de Ajo Don Juan Sachet, 100g",DON JUAN,Cugat,Aderezos y Condimentos,790.0,2150.4528301886794,-63.26,0
"Ketchup Traverso Bolsa, 1kg",TRAVERSO,Cugat,Aderezos y Condimentos,2290.0,2150.4528301886794,6.49,0
"Ketchup Hellmann´s Doypack, 250g",OTRA,Cugat,Aderezos y Condimentos,1990.0,2150.4528301886794,-7.46,0
"Mostaza Traverso Doypack, 1kg",TRAVERSO,Cugat,Aderezos y Condimentos,2390.0,2150.4528301886794,11.14,0
"Mostaza Traverso Doypack, 500g",TRAVERSO,Cugat,Aderezos y Condimentos,1490.0,2150.4528301886794,-30.71,0
"Salsa de Soya Traverso Botella, 1000cc",TRAVERSO,Cugat,Aderezos y Condimentos,2490.0,2150.4528301886794,15.79,0
Chucrut Traverso 500g neto (200g drenado),TRAVERSO,Cugat,Aderezos y Condimentos,1190.0,2150.4528301886794,-44.66,0
"Sucedáneo Traverso de Jugo de Limón de Pica, 1000cc",TRAVERSO,Cugat,Aderezos y Condimentos,2990.0,2150.4528301886794,39.04,0
"Sal de Mesa Fina Lobos, 1kg",LOBOS,Cugat,Aderezos y Condimentos,729.0,2150.4528301886794,-66.1,0
"Ají Pebre Crema Traverso Doypack, 500gr.",TRAVERSO,Cugat,Aderezos y Condimentos,2990.0,2150.4528301886794,39.04,0
"Ají Chileno Crema Don Juan, 900gr.",DON JUAN,Cugat,Aderezos y Condimentos,2290.0,2150.4528301886794,6.49,0
"Ketchup Don Juan, 240g",DON JUAN,Cugat,Aderezos y Condimentos,1390.0,2150.4528301886794,-35.36,0
"Mostaza Don Juan Doypack, 500g",DON JUAN,Cugat,Aderezos y Condimentos,1390.0,2150.4528301886794,-35.36,0
Lentejas 6Mm 1 kg Lider,LIDER,Acuenta,Legumbres,2950.0,1999.5,47.54,0
Lentejas 6 mm Bolsa 1 Kg Banquete,BANQUETE,Acuenta,Legumbres,2850.0,1999.5,42.54,0
Lentejas 4 mm Bolsa 1 Kg Lider,LIDER,Acuenta,Legumbres,2990.0,1999.5,49.54,0
Lentejas 4 mm Bolsa 1 Kg Banquete,BANQUETE,Acuenta,Legumbres,3390.0,1999.5,69.54,0
Lentejas 5 mm Bolsa 1 Kg Lider,LIDER,Acuenta,Legumbres,3190.0,1999.5,59.54,0
Lentejas 6mm Bolsa 1 Kg Iansa Agro,IANSA,Acuenta,Legumbres,2990.0,1999.5,49.54,0
Porotos Granados Caja 380 g Wasil,GENÉRICA,Acuenta,Legumbres,2290.0,1999.5,14.53,0
Lentejas 6mm Bolsa 500 g Martini,GENÉRICA,Acuenta,Legumbres,1750.0,1999.5,-12.48,0
Lentejas 5mm Bolsa 1 Kg Iansa Agro,IANSA,Acuenta,Legumbres,3990.0,1999.5,99.55,0
Porotos en Conserva Drenado 138 g - Neto 227 g ...,NETO,Acuenta,Legumbres,630.0,1999.5,-68.49,0
Porotos Negros en Conserva Drenado 138 g - Neto...,NETO,Acuenta,Legumbres,610.0,1999.5,-69.49,0
Porotos Drenado 230 g - Neto 390 g Lider,LIDER,Acuenta,Legumbres,950.0,1999.5,-52.49,0
Lentejas Drenado 230 g - Neto 390 g Lider...,LIDER,Acuenta,Legumbres,950.0,1999.5,-52.49,0
Lentejas 5mm Bolsa 800 gr Banquete,BANQUETE,Acuenta,Legumbres,2000.0,1999.5,0.03,0
Porotos Negros Drenado 230 g - Neto 390 g Lider...,LIDER,Acuenta,Legumbres,950.0,1999.5,-52.49,0
